GUID,Type,Stereotype,Name,Status,Notes,hostname,ip_address,environment,location,os,os_version,owner,end_of_support
{8B83FC80-2ADD-989D-76C6-851014A038C0},Node,ArchiMate_Location,DC Jakarta (Cibitung),Approved,"Data center utama, tier III.",,,,,,,,
{D2C47F63-FCF9-753C-5667-EC0DAC29BF8E},Node,ArchiMate_Location,DRC Surabaya,Approved,Disaster recovery center.,,,,,,,,
{720D8161-C694-8A81-2BE3-01EDE274CD1C},Node,ArchiMate_CommunicationNetwork,Segmen DMZ,Approved,,,,,DC Jakarta (Cibitung),,,,
{29CF8BCF-762B-D66E-C6A4-312DC1D60C06},Node,ArchiMate_CommunicationNetwork,Segmen Aplikasi,Approved,,,,,DC Jakarta (Cibitung),,,,
{170A9309-6F47-6BC8-C81A-2EA580C71373},Node,ArchiMate_CommunicationNetwork,Segmen Database,Approved,,,,,DC Jakarta (Cibitung),,,,
{A8E551EA-041B-5D09-26AA-5B9459018020},Node,ArchiMate_CommunicationNetwork,Segmen Manajemen,Approved,,,,,DC Jakarta (Cibitung),,,,
{8F31BF9E-E70A-8295-4B02-39221A101269},Device,firewall,fw-jkt-01,Approved,,fw-jkt-01,10.10.99.1,production,DC Jakarta (Cibitung),FortiOS,7.2,Tim Network,2027-09-30
{9F4D53C5-4DEE-DDF9-EB75-6634EC94FC5F},Device,switch,core-sw-jkt-01,Approved,,core-sw-jkt-01,10.10.99.2,production,DC Jakarta (Cibitung),NX-OS,9.3,Tim Network,2028-12-31
{A6976FEB-C744-FFBE-2FDB-3D7EA217367D},Device,load balancer,lb-jkt-01,Approved,,lb-jkt-01,10.10.10.5,production,DC Jakarta (Cibitung),TMOS,15.1,Tim Network,2026-12-31
{86DA886E-91B3-C22D-7FFD-751D85739E1A},Node,server,esx-jkt-01,Approved,,esx-jkt-01,10.10.99.11,production,DC Jakarta (Cibitung),VMware ESXi,7.0 U3,Tim Infrastruktur,2025-10-02
{B8478A69-614F-F4CD-A81E-140E751FA69B},Node,server,esx-jkt-02,Approved,,esx-jkt-02,10.10.99.12,production,DC Jakarta (Cibitung),VMware ESXi,8.0 U2,Tim Infrastruktur,2027-10-11
{7DA4B198-82A6-122B-2DA6-BE9B50D91F33},Node,server,esx-sby-01,Approved,,esx-sby-01,10.20.99.11,dr,DRC Surabaya,VMware ESXi,8.0 U2,Tim Infrastruktur,2027-10-11
{88D97FFB-F48F-3A0A-D109-24C9C06FA3A2},Node,storage,san-jkt-01,Approved,,san-jkt-01,10.10.99.21,production,DC Jakarta (Cibitung),,,Tim Infrastruktur,2029-03-31
{44C79443-6D5D-F296-684A-715D7EE26967},Node,virtual machine,srv-web-01,Approved,,srv-web-01,10.10.10.21,production,DC Jakarta (Cibitung),Ubuntu Server,22.04 LTS,Tim Aplikasi,2027-04-30
{78ED7912-2DB2-1A93-70FC-86915021FC7D},Node,virtual machine,srv-web-02,Approved,,srv-web-02,10.10.10.22,production,DC Jakarta (Cibitung),Ubuntu Server,22.04 LTS,Tim Aplikasi,2027-04-30
{48E8B393-7A29-883F-D4AF-3C3525FC4BB8},Node,virtual machine,srv-app-01,Approved,,srv-app-01,10.10.20.31,production,DC Jakarta (Cibitung),Windows Server,2016,Tim Aplikasi,2027-01-12
{EE5AEACC-FAF1-5C65-47EA-07B0F77C328B},Node,virtual machine,srv-app-02,Approved,,srv-app-02,10.10.20.32,production,DC Jakarta (Cibitung),Red Hat Enterprise Linux,8.10,Tim Aplikasi,2029-05-31
{A9BADE2C-929B-9092-AFA4-E855755DD958},Node,virtual machine,srv-db-01,Approved,,srv-db-01,10.10.30.41,production,DC Jakarta (Cibitung),Red Hat Enterprise Linux,8.10,Tim Database,2029-05-31
{C7FDAFD0-F848-D6EF-13F3-9A338946E5F3},Node,virtual machine,srv-db-dr-01,Approved,,srv-db-dr-01,10.20.30.41,dr,DRC Surabaya,Red Hat Enterprise Linux,8.10,Tim Database,2029-05-31
{280C3D49-D517-9B56-1FFB-B73A33B930EE},Node,virtual machine,srv-ad-01,Approved,,srv-ad-01,10.10.99.51,production,DC Jakarta (Cibitung),Windows Server,2019,Tim Infrastruktur,2029-01-09
{7A6CDBDA-DA40-FF6C-7F25-F884B6BD1B23},Node,virtual machine,srv-mon-01,Approved,Menunggu migrasi ke Rocky Linux 9.,srv-mon-01,10.10.99.61,production,DC Jakarta (Cibitung),CentOS,7.9,Tim Infrastruktur,2024-06-30
{78485970-37B1-840E-FE99-1BD9A1F2F71C},Node,virtual machine,srv-app-stg-01,Approved,,srv-app-stg-01,10.10.20.131,staging,DC Jakarta (Cibitung),Red Hat Enterprise Linux,8.10,Tim Aplikasi,2029-05-31
{9691288B-EE91-0B4C-26E5-09669FDF8000},Node,virtual machine,srv-legacy-01,Retiring,Dijadwalkan pensiun setelah migrasi Aplikasi Absensi versi lama.,srv-legacy-01,10.10.20.99,production,DC Jakarta (Cibitung),Windows Server,2012 R2,Tim Aplikasi,2023-10-10
{59E459E9-8A66-691B-E7E0-523146934D8F},ExecutionEnvironment,ArchiMate_SystemSoftware,PostgreSQL 13,Approved,,,,production,,PostgreSQL,13.14,Tim Database,2025-11-13
{0356630A-43A3-5EF9-62F1-338FC1813F89},ExecutionEnvironment,ArchiMate_SystemSoftware,PostgreSQL 16,Approved,,,,production,,PostgreSQL,16.3,Tim Database,2028-11-09
{3D56288B-33AF-A4C7-6297-21B28912691B},ExecutionEnvironment,ArchiMate_SystemSoftware,Nginx,Approved,,,,production,,Nginx,1.24,Tim Aplikasi,
{842FA707-4AA2-561C-66D9-AD850946C02C},ExecutionEnvironment,ArchiMate_SystemSoftware,Active Directory,Approved,,,,production,,,,Tim Infrastruktur,
{DDF8D037-775B-7868-6060-3124736CCCE3},Component,ArchiMate_ApplicationComponent,Portal Tiket,Approved,Portal permintaan layanan TI.,,,production,,,,Tim Aplikasi,
{31A534BC-6FF8-F348-3DA8-11F604A0381C},Component,ArchiMate_ApplicationComponent,Aplikasi Absensi,Approved,,,,production,,,,Tim Aplikasi,
{4F27EC59-CDC2-CD47-F761-F4754D1769E5},Component,ArchiMate_ApplicationComponent,IntraDocs,Approved,,,,production,,,,Tim Aplikasi,
{F64A3494-6DCA-4D0F-CD53-04092466EAF3},Component,ArchiMate_ApplicationComponent,Zabbix Monitoring,Approved,,,,production,,,,Tim Infrastruktur,
{DB14EAF4-B8AB-7709-5754-BD4FC21BAFAF},Actor,ArchiMate_BusinessActor,Divisi Keuangan,Approved,,,,,,,,,
#relations
GUID,SourceGUID,TargetGUID,Type,Stereotype
{22C1801F-5202-2DF7-6DBF-1630AA02AB70},{86DA886E-91B3-C22D-7FFD-751D85739E1A},{8B83FC80-2ADD-989D-76C6-851014A038C0},Association,located in
{FBCFC1CE-7896-9641-A606-3DAFA350904C},{B8478A69-614F-F4CD-A81E-140E751FA69B},{8B83FC80-2ADD-989D-76C6-851014A038C0},Association,located in
{4F093470-B32D-3199-8130-B6F2609D9911},{88D97FFB-F48F-3A0A-D109-24C9C06FA3A2},{8B83FC80-2ADD-989D-76C6-851014A038C0},Association,located in
{D59A4E23-0201-428F-AF3A-45AEA1B582E2},{8F31BF9E-E70A-8295-4B02-39221A101269},{8B83FC80-2ADD-989D-76C6-851014A038C0},Association,located in
{6E4718CE-F5A5-69F3-DEAF-FADFE67DE886},{9F4D53C5-4DEE-DDF9-EB75-6634EC94FC5F},{8B83FC80-2ADD-989D-76C6-851014A038C0},Association,located in
{C4101C25-C4BA-4100-01ED-9B960CB71B8B},{A6976FEB-C744-FFBE-2FDB-3D7EA217367D},{8B83FC80-2ADD-989D-76C6-851014A038C0},Association,located in
{7D83EE08-BDA6-770D-E78B-CFDAAE9100D2},{7DA4B198-82A6-122B-2DA6-BE9B50D91F33},{D2C47F63-FCF9-753C-5667-EC0DAC29BF8E},Association,located in
{B7C40075-D1B0-6050-ECBC-454895CAE47D},{9F4D53C5-4DEE-DDF9-EB75-6634EC94FC5F},{8F31BF9E-E70A-8295-4B02-39221A101269},Association,connects
{E68CF4C7-567A-8937-6D19-08A54C25E816},{720D8161-C694-8A81-2BE3-01EDE274CD1C},{9F4D53C5-4DEE-DDF9-EB75-6634EC94FC5F},Association,connects
{B6CEDD73-0A9C-5E27-3C74-AF6D4B389B16},{29CF8BCF-762B-D66E-C6A4-312DC1D60C06},{9F4D53C5-4DEE-DDF9-EB75-6634EC94FC5F},Association,connects
{F33BB456-26E2-9913-5F42-65256889A9C8},{170A9309-6F47-6BC8-C81A-2EA580C71373},{9F4D53C5-4DEE-DDF9-EB75-6634EC94FC5F},Association,connects
{AE0854A8-7E8A-8E6D-4218-BB0534C69A35},{A8E551EA-041B-5D09-26AA-5B9459018020},{9F4D53C5-4DEE-DDF9-EB75-6634EC94FC5F},Association,connects
{91701D8A-3B8D-DF11-6823-8C04C5EDCB12},{A6976FEB-C744-FFBE-2FDB-3D7EA217367D},{720D8161-C694-8A81-2BE3-01EDE274CD1C},Association,connects
{CC1C6074-B84F-A98E-4AC8-57D60B4ECB65},{44C79443-6D5D-F296-684A-715D7EE26967},{720D8161-C694-8A81-2BE3-01EDE274CD1C},Association,connects
{9EA99305-0BA9-189B-8F96-9CB864335EC1},{78ED7912-2DB2-1A93-70FC-86915021FC7D},{720D8161-C694-8A81-2BE3-01EDE274CD1C},Association,connects
{EF083B88-25DE-6CC3-2B93-BCD5E8D47ABA},{48E8B393-7A29-883F-D4AF-3C3525FC4BB8},{29CF8BCF-762B-D66E-C6A4-312DC1D60C06},Association,connects
{94917EE1-80C8-AC88-5A93-F7ECF7BCFDCE},{EE5AEACC-FAF1-5C65-47EA-07B0F77C328B},{29CF8BCF-762B-D66E-C6A4-312DC1D60C06},Association,connects
{FCAED7BE-AE8C-DA4D-E158-A5D747F425FE},{9691288B-EE91-0B4C-26E5-09669FDF8000},{29CF8BCF-762B-D66E-C6A4-312DC1D60C06},Association,connects
{57FCAA86-EEB2-7901-C250-A9438404B25C},{A9BADE2C-929B-9092-AFA4-E855755DD958},{170A9309-6F47-6BC8-C81A-2EA580C71373},Association,connects
{0C431888-FEDA-C68E-C3B0-0213D12352B6},{280C3D49-D517-9B56-1FFB-B73A33B930EE},{A8E551EA-041B-5D09-26AA-5B9459018020},Association,connects
{A27867CE-787F-5A2B-39FB-2ACDCAEF9E8F},{7A6CDBDA-DA40-FF6C-7F25-F884B6BD1B23},{A8E551EA-041B-5D09-26AA-5B9459018020},Association,connects
{9A7BC5FA-86F4-7975-FB3E-3FD99BC86B72},{86DA886E-91B3-C22D-7FFD-751D85739E1A},{44C79443-6D5D-F296-684A-715D7EE26967},Association,ArchiMate_Assignment
{3ADDE421-89EB-3043-3993-9BAA99DE57DD},{86DA886E-91B3-C22D-7FFD-751D85739E1A},{48E8B393-7A29-883F-D4AF-3C3525FC4BB8},Association,ArchiMate_Assignment
{87FF655C-72C4-157A-2961-F008DDBC2AFA},{86DA886E-91B3-C22D-7FFD-751D85739E1A},{7A6CDBDA-DA40-FF6C-7F25-F884B6BD1B23},Association,ArchiMate_Assignment
{8882C1D9-EF6C-0962-7D0E-524CFAEC9C71},{86DA886E-91B3-C22D-7FFD-751D85739E1A},{9691288B-EE91-0B4C-26E5-09669FDF8000},Association,ArchiMate_Assignment
{8240078E-103C-C7EA-DEC4-9FE40475578B},{B8478A69-614F-F4CD-A81E-140E751FA69B},{78ED7912-2DB2-1A93-70FC-86915021FC7D},Association,ArchiMate_Assignment
{7AF3568F-BBCD-BE06-FAA4-D41FBA7CD8A5},{B8478A69-614F-F4CD-A81E-140E751FA69B},{EE5AEACC-FAF1-5C65-47EA-07B0F77C328B},Association,ArchiMate_Assignment
{83DC4362-222C-E427-9FCE-9FAF67DC3FEE},{B8478A69-614F-F4CD-A81E-140E751FA69B},{A9BADE2C-929B-9092-AFA4-E855755DD958},Association,ArchiMate_Assignment
{79036B7F-F59C-CB9C-314B-6A3C1252F6A4},{B8478A69-614F-F4CD-A81E-140E751FA69B},{280C3D49-D517-9B56-1FFB-B73A33B930EE},Association,ArchiMate_Assignment
{3740A253-A021-4367-8FDC-E67ED44D47E7},{B8478A69-614F-F4CD-A81E-140E751FA69B},{78485970-37B1-840E-FE99-1BD9A1F2F71C},Association,ArchiMate_Assignment
{2DED03BA-69B7-67A1-5201-5853C3073610},{7DA4B198-82A6-122B-2DA6-BE9B50D91F33},{C7FDAFD0-F848-D6EF-13F3-9A338946E5F3},Association,ArchiMate_Assignment
{F1B952A8-B1CE-2215-2350-F33F035A5F0B},{86DA886E-91B3-C22D-7FFD-751D85739E1A},{88D97FFB-F48F-3A0A-D109-24C9C06FA3A2},Dependency,stores
{2690E823-67F6-F52B-4172-999BCD876ADE},{B8478A69-614F-F4CD-A81E-140E751FA69B},{88D97FFB-F48F-3A0A-D109-24C9C06FA3A2},Dependency,stores
{D0AEFF17-CE5B-D056-228F-16BDD1CF4735},{3D56288B-33AF-A4C7-6297-21B28912691B},{44C79443-6D5D-F296-684A-715D7EE26967},Deployment,
